Date;Tmax;Tmin;RR
19800101;-1.4;-0.7;5
19800102;-4;1;3
19800103;-4.1;0;0.5
19800104;-5.6;1;4.2
19800105;-1.6;0.4;3.5
19800106;-0.2;-0.5;4.7
19800107;0;-1.8;1.4
19800108;-0.6;-0.8;0
19800109;-4;-10.1;0
19800110;-3.6;-16.6;0
19800111;-3.2;-19;0
19800112;-5;-10.5;0
19800113;0.5;-11.2;0
19800114;-6.5;-15.5;0
19800115;0.1;-14.5;0
19800116;-3.2;-15;0
19800117;-2;-13.4;0
19800118;5;-13;0
19800119;0.6;-5.7;0
19800120;-3.6;-10;0
19800121;-1.1;-4.4;0
19800122;0.7;-7.2;8.4
19800123;0.9;-2.1;0
19800124;1;-3.8;7.5
19800125;0.1;-4;2.8
19800126;-0.5;-6.5;4.3
19800127;-1.5;-1.3;3.5
19800128;-3.4;2;0.6
19800129;-2.6;0.5;0
19800130;2.5;-0.5;6.7
19800131;6.1;-5.2;4.6
19800201;3;-10.3;0.8
19800202;1;-11.8;4.7
19800203;1.8;-6;30.5
19800204;2.5;-7.6;9.4
19800205;4.5;-6.4;14.8
19800206;4.5;-10.5;1.1
19800207;2;-12.3;7.4
19800208;4.5;-14;0
19800209;11.5;-9.3;0
19800210;4.7;-12.1;3.4
19800211;4;-13;0.4
19800212;4;-5;1.2
19800213;4.2;-1.8;0
19800214;3.5;-4.3;0
19800215;4.9;-3;0
19800216;0.4;-2.6;6.3
19800217;3.3;-4.8;0.2
19800218;1.8;-11;0
19800219;5.5;-1.8;0
19800220;8.1;-4;0
19800221;10;-7.5;0
19800222;10.9;-3.5;0
19800223;10.3;-2;0
19800224;11;-2.5;0
19800225;10.1;-2.9;0
19800226;10.4;1.2;0
19800227;8.4;1.2;0
19800228;2.6;1.8;0.4
19800229;-0.6;0.6;3.2
19800301;1.5;3.5;2
19800302;3;2;1
19800303;1.2;0;2.2
19800304;0.5;-0.5;0
19800305;6.4;1.4;0
19800306;8.7;-3.5;0
19800307;7;-5.5;5.6
19800308;2.5;-6.8;5.6
19800309;2.7;-5.6;0.8
19800310;4.2;-1.2;0.2
19800311;2;2;4.7
19800312;2.4;0.6;0.5
19800313;7;-0.9;0
19800314;12.2;-1;0
19800315;9.4;0.5;0
19800316;11.2;4;0
19800317;11.5;-0.8;0
19800318;12;-2.6;0
19800319;9.1;-3.5;0
19800320;2.1;-5.9;2.7
19800321;1.4;-0.8;0
19800322;11.6;-0.5;0
19800323;5.5;0.6;0.5
19800324;3.8;0.2;0
19800325;8.5;1.2;0
19800326;6.2;1;0
19800327;7.5;2.5;14.5
19800328;14;3;5.3
19800329;11.8;4.2;0.7
19800330;8;5.6;6.8
19800331;7.5;5.5;8.7
19800401;9.2;4;23.1
19800402;9.5;1.7;0.9
19800403;2.6;0.4;3.7
19800404;2.5;0.5;1
19800405;1;2.6;3
19800406;2.5;0;1.4
19800407;5.3;0.5;1.8
19800408;4.2;4;5.4
19800409;4.7;9;1.9
19800410;3.4;5;1.3
19800411;6.4;3;0
19800412;10.4;4.5;0
19800413;15.3;-0.8;0
19800414;17.2;0.5;0
19800415;19.9;3;0
19800416;20.5;-1.8;0
19800417;18.6;3.6;0
19800418;13.8;4.8;0.8
19800419;7.6;8.4;7.6
19800420;5;7;2.6
19800421;5.7;5;0.7
19800422;4.5;6.1;0.3
19800423;1.6;4.6;17.8
19800424;0.3;0.8;14.4
19800425;2.4;-1.9;0.8
19800426;3;-1;1
19800427;5.5;-2;0
19800428;8.6;-2.2;0
19800429;11.7;0;0.1
19800430;16.7;1.3;0
19800501;17.5;0.1;0
19800502;15.8;0.1;0
19800503;12.5;-2;0.3
19800504;6.7;1.9;1.9
19800505;10.5;6;0
19800506;17.2;6.1;0
19800507;16.4;3.6;0
19800508;20.2;4.2;5.8
19800509;10.6;8.5;3
19800510;13;6;0
19800511;17.5;5.2;0
19800512;18.5;7.8;0
19800513;17.2;9;0
19800514;14.5;11.6;0
19800515;12.5;12;0
19800516;14.4;10.2;0
19800517;14.7;11.8;1.3
19800518;11;13.7;5.1
19800519;16;9.6;4
19800520;14.5;9;1.9
19800521;16.6;9.1;4.3
19800522;13.5;8.7;0
19800523;15.9;9.4;0
19800524;14.9;4.2;0
19800525;14.3;7.6;0
19800526;19.2;1.2;0
19800527;23.3;2.6;0
19800528;16.9;1.6;10
19800529;20;7.1;0.4
19800530;16.2;6.9;0
19800531;13.1;9.2;2.2
19800601;13.1;11;4.4
19800602;14.5;12.5;0.3
19800603;17.7;10.8;0.7
19800604;15.9;12.5;2.5
19800605;20.1;9.7;0.1
19800606;21.8;9.7;0
19800607;20.8;11.3;1.3
19800608;21;13.5;0.5
19800609;24.1;12.3;0
19800610;20.2;10.8;15.1
19800611;19.8;8;0
19800612;23.7;10.2;0
19800613;26.6;9.1;0
19800614;31.5;9.5;0
19800615;23.6;8.7;0
19800616;20.1;3.9;0
19800617;21.6;6.6;9.8
19800618;17.8;9.7;3.4
19800619;18.5;10.1;5
19800620;13.5;9.1;1.8
19800621;14.2;8.5;12.6
19800622;16;3.8;1.9
19800623;14.3;7.5;9.8
19800624;18.7;11.8;12.3
19800625;15.2;14;0.2
19800626;17;12.7;3.7
19800627;13.1;12.7;2.7
19800628;14.1;12.2;21
19800629;12.5;6.6;20.5
19800630;13.4;4.9;2.1
19800701;18.1;1.2;7.9
19800702;10.5;2.4;25.5
19800703;10.7;2.6;13
19800704;16.5;4.8;0
19800705;18.6;4.3;0.5
19800706;19.5;11.1;2.3
19800707;19.5;11.6;2.9
19800708;21.8;11.2;9.2
19800709;12.5;10.5;19.8
19800710;14.7;9.5;5.4
19800711;11.7;10.6;7.4
19800712;12.8;12.2;8.9
19800713;11.2;8.1;9.1
19800714;17.2;7.8;7.4
19800715;17;11;3.1
19800716;14.8;11.8;2.9
19800717;15.5;12.1;0
19800718;17.5;13.1;1.4
19800719;16.4;12.8;2.2
19800720;21.4;12.9;22.1
19800721;14.1;12;42.6
19800722;9.5;8.9;7.1
19800723;21;7.9;0
19800724;23.2;7;0
19800725;24.7;6.2;0
19800726;25.6;10.3;0
19800727;23.2;10.4;1
19800728;19;8.2;14.8
19800729;23.7;8.3;24.6
19800730;19.5;10;2
19800731;21.6;11.2;0
19800801;23.5;12.6;0
19800802;27.8;11.5;0
19800803;29.5;7.8;0.6
19800804;25;5.5;2.2
19800805;25.5;9.7;0
19800806;22.2;12.5;0
19800807;24;11.2;0
19800808;19.3;9.2;1.7
19800809;20.2;10.2;1.4
19800810;20.9;10;0.2
19800811;22.2;8.1;0
19800812;19;12.2;20.4
19800813;15.9;8.9;0.1
19800814;19.5;5.5;0
19800815;24;10.8;0
19800816;22.7;9;0
19800817;22.5;6.7;0
19800818;22.5;12;0
19800819;23;12;13.8
19800820;16.8;7;1.4
19800821;23.6;11;0
19800822;18;11.4;0
19800823;12;10;0
19800824;12.2;15.4;0.2
19800825;15.5;13;0
19800826;20.7;15.2;0
19800827;23;16.5;0
19800828;22;16.5;0
19800829;19;12.5;1.5
19800830;18.9;10.7;16
19800831;14.2;9.5;25.1
