DateTime_LST,TA (degC),RH (%),SWC (%),TS (degC),WS (m/s),WD (deg_north),TKE (m2/s2),SW_IN (W/m2),SW_OUT (W/m2),LW_IN (W/m2),LW_OUT (W/m2),LE (W/m2),H (W/m2),G (W/m2),ALB (%),U (m/s),V (m/s)
2018-11-29 00:00:00,14.54,85.29,46.11,16.7,1.15,234.94,0.214,0.0,0.498,350.032,385.977,-4.82,5.796,-1.067,0.0,0.94,0.66
2018-11-29 00:30:00,14.18,87.46,46.11,16.69,1.26,213.91,0.154,0.0,0.605,324.072,383.508,1.741,-8.703,-5.926,0.0,0.71,1.05
2018-11-29 01:00:00,13.96,88.12,46.11,16.67,0.73,229.46,0.128,0.0,0.964,322.762,381.824,2.018,-5.345,-1.204,0.0,0.55,0.47
2018-11-29 01:30:00,13.53,90.61,46.11,16.66,0.82,215.02,0.14,0.0,1.097,319.969,379.753,1.189,-4.104,-3.623,0.0,0.47,0.67
2018-11-29 02:00:00,13.65,88.93,46.06,16.64,1.14,221.15,0.083,0.0,1.044,323.526,379.617,2.549,-7.713,-9.655,0.0,0.75,0.86
2018-11-29 02:30:00,13.23,90.76,46.05,16.62,0.95,212.12,0.224,0.0,0.817,333.287,378.86,4.164,-20.743,-5.77,0.0,0.51,0.81
2018-11-29 03:00:00,13.17,90.85,46.05,16.6,0.64,210.79,0.094,0.0,0.696,334.746,377.99,1.622,-8.297,-4.61,0.0,0.33,0.55
2018-11-29 03:30:00,12.85,92.48,46.04,16.58,0.61,233.19,0.21,0.0,1.051,318.295,376.063,-0.278,10.838,-5.322,0.0,0.49,0.37
2018-11-29 04:00:00,12.64,93.2,46.04,16.56,1.15,217.91,0.128,0.0,0.972,314.113,375.079,2.429,-22.748,-8.177,0.0,0.71,0.91
2018-11-29 04:30:00,12.47,93.3,46.04,16.53,0.94,218.97,0.423,0.0,1.219,317.33,374.57,0.994,-5.633,-8.896,0.0,0.59,0.73
2018-11-29 05:00:00,12.21,94.46,46.04,16.51,0.47,128.46,0.133,0.0,1.432,315.936,373.419,-0.581,2.87,-8.354,0.0,-0.37,0.29
2018-11-29 05:30:00,12.22,93.66,46.03,16.48,0.98,215.02,0.216,0.0,1.337,313.542,373.035,0.54,-3.568,-7.147,0.0,0.57,0.81
2018-11-29 06:00:00,12.25,92.5,46.03,16.45,1.38,222.61,0.165,0.0,1.157,311.359,372.967,-0.337,-2.966,-8.644,0.0,0.94,1.02
2018-11-29 06:30:00,12.17,92.27,46.03,16.43,0.82,202.44,0.306,23.72,3.762,309.439,372.667,4.759,-39.887,-7.33,15.9,0.31,0.75
2018-11-29 07:00:00,11.92,94.17,45.98,16.4,0.78,77.65,0.302,58.589,5.741,307.953,373.116,13.734,-5.886,-13.176,9.8,-0.76,-0.17
2018-11-29 07:30:00,11.99,94.65,45.97,16.37,1.03,198.13,0.313,227.417,9.625,307.798,374.831,6.765,18.766,-10.934,4.2,0.32,0.98
2018-11-29 08:00:00,13.04,88.37,45.96,16.34,1.44,211.12,0.093,439.813,18.875,312.394,381.738,1.579,11.525,-9.85,4.3,0.74,1.23
2018-11-29 08:30:00,14.95,79.98,45.96,16.31,1.28,193.94,0.666,562.629,33.048,317.49,394.038,15.985,16.846,-9.872,5.9,0.31,1.24
2018-11-29 09:00:00,16.74,75.28,45.96,16.28,2.17,64.16,0.714,203.863,53.269,321.454,406.594,259.601,146.651,-11.666,26.1,-1.95,-0.95
2018-11-29 09:30:00,18.26,69.39,45.91,16.25,1.69,50.73,1.076,806.164,69.203,327.889,417.152,367.067,133.162,-11.679,8.6,-1.31,-1.07
2018-11-29 10:00:00,19.46,65.18,45.89,16.23,2.24,66.95,1.355,502.539,81.306,332.889,428.051,357.657,201.638,-9.285,16.2,-2.07,-0.88
2018-11-29 10:30:00,21.03,60.09,45.84,16.21,3.09,61.36,2.165,599.567,92.916,340.668,439.02,410.287,230.938,-10.332,15.5,-2.71,-1.48
2018-11-29 11:00:00,21.95,57.42,45.81,16.19,3.35,54.09,2.355,360.637,103.333,345.167,446.288,482.741,286.195,-10.789,28.7,-2.72,-1.97
2018-11-29 11:30:00,22.51,55.61,45.75,16.18,3.13,51.79,1.984,963.044,107.815,348.735,452.201,505.326,408.847,-6.572,11.2,-2.46,-1.94
2018-11-29 12:00:00,22.89,54.07,45.68,16.18,3.84,52.02,2.5,982.564,111.286,351.934,456.698,446.587,377.867,-6.114,11.3,-3.03,-2.37
2018-11-29 12:30:00,23.28,54.71,45.61,16.19,3.89,49.35,2.544,1002.085,111.889,360.405,460.715,453.602,416.766,-4.772,11.2,-2.95,-2.53
2018-11-29 13:00:00,23.35,54.59,45.52,16.21,3.94,48.43,2.573,1021.605,112.491,361.303,461.976,358.067,354.271,-2.827,11.0,-2.94,-2.61
2018-11-29 13:30:00,23.39,55.48,45.44,16.22,4.1,50.77,2.546,1041.126,113.094,361.015,461.981,319.335,422.989,-2.44,10.9,-3.18,-2.6
2018-11-29 14:00:00,23.58,56.17,45.37,16.25,3.83,54.67,3.027,927.593,102.061,365.155,462.266,426.696,364.822,2.656,11.0,-3.12,-2.21
2018-11-29 14:30:00,22.88,57.95,45.3,16.29,3.63,44.11,2.447,500.232,53.821,368.271,445.782,349.094,88.428,2.655,10.8,-2.53,-2.61
2018-11-29 15:00:00,22.07,58.68,45.27,16.32,2.06,65.17,1.319,332.028,40.588,370.483,435.993,323.88,53.219,4.139,12.2,-1.87,-0.87
2018-11-29 15:30:00,23.33,52.42,45.22,16.36,2.29,56.52,1.748,679.11,86.473,367.165,456.379,294.947,248.22,5.964,12.7,-1.91,-1.27
2018-11-29 16:00:00,23.09,53.55,45.16,16.4,2.63,45.05,1.334,409.207,49.092,369.219,446.152,130.648,65.881,5.48,12.0,-1.86,-1.86
2018-11-29 16:30:00,21.76,62.79,45.12,16.45,3.2,50.1,2.333,175.392,19.895,384.682,431.046,191.915,-32.127,4.081,11.3,-2.45,-2.05
2018-11-29 17:00:00,21.37,66.28,45.12,16.48,1.83,51.91,1.605,179.571,30.798,378.929,431.657,123.847,52.135,2.683,17.2,-1.44,-1.13
2018-11-29 17:30:00,20.98,66.73,45.06,16.52,1.74,112.32,1.927,100.869,14.529,373.175,425.224,170.536,22.859,4.806,14.4,-1.61,0.66
2018-11-29 18:00:00,20.78,64.23,45.07,16.56,2.25,233.52,2.629,44.266,6.718,374.314,422.621,53.736,-62.594,6.929,15.2,1.81,1.34
2018-11-29 18:30:00,20.07,64.53,45.06,16.59,5.11,232.52,2.552,3.037,0.982,375.453,418.03,18.058,-20.609,9.052,0.0,4.05,3.11
2018-11-29 19:00:00,19.35,66.82,45.04,16.62,4.55,230.91,1.699,1.519,0.65,367.239,413.644,10.859,-20.175,5.799,0.0,3.53,2.87
2018-11-29 19:30:00,18.64,69.1,45.02,16.65,4.0,229.3,1.604,0.0,0.319,359.025,409.259,3.66,-19.742,2.547,0.0,3.03,2.61
2018-11-29 20:00:00,18.11,70.76,45.01,16.67,4.91,230.05,2.303,0.0,0.377,338.641,406.091,13.063,-21.99,7.297,0.0,3.77,3.15
2018-11-29 20:30:00,17.77,72.62,45.01,16.69,3.39,231.55,1.862,0.0,0.452,354.0,404.289,-0.358,-8.142,7.148,0.0,2.66,2.11
2018-11-29 21:00:00,17.7,72.82,45.01,16.71,2.25,227.89,0.688,0.0,0.29,387.551,404.972,-2.962,-0.055,3.813,0.0,1.67,1.51
