DateTime_LST,TA (degC),RH (%),SWC (%),TS (degC),WS (m/s),WD (deg_north),TKE (m2/s2),SW_IN (W/m2),SW_OUT (W/m2),LW_IN (W/m2),LW_OUT (W/m2),LE (W/m2),H (W/m2),G (W/m2),ALB (%),U (m/s),V (m/s)
2018-11-29 00:00:00,14.52,84.64,17.19,18.24,0.75,354.72,0.184,0.0,0.867,347.9,378.796,0.801,-0.817,-10.853,0.0,0.07,-0.74
2018-11-29 00:30:00,14.08,86.2,17.18,18.19,1.0,341.48,0.18,0.0,0.624,321.048,373.698,-1.025,-2.524,-12.885,0.0,0.32,-0.95
2018-11-29 01:00:00,13.84,87.15,17.12,18.14,0.77,15.53,0.193,0.0,1.379,319.504,370.828,0.673,-0.424,-18.247,0.0,-0.21,-0.74
2018-11-29 01:30:00,13.43,88.24,17.11,18.08,0.92,336.66,0.099,0.0,0.994,316.643,369.506,-0.832,-2.562,-12.859,0.0,0.37,-0.85
2018-11-29 02:00:00,13.34,88.51,17.11,18.03,0.98,351.68,0.116,0.0,1.411,319.454,369.332,-1.972,-2.116,-15.183,0.0,0.14,-0.97
2018-11-29 02:30:00,13.25,88.71,17.11,17.98,0.76,347.26,0.19,0.0,0.903,330.223,370.595,-0.993,-5.515,-13.396,0.0,0.17,-0.74
2018-11-29 03:00:00,13.13,89.3,17.11,17.93,0.86,4.09,0.241,0.0,1.467,331.402,370.905,0.863,-2.717,-14.694,0.0,-0.06,-0.86
2018-11-29 03:30:00,12.78,90.67,17.1,17.88,0.72,358.84,0.112,0.0,1.144,315.054,367.606,-1.377,-3.88,-14.869,0.0,0.01,-0.72
2018-11-29 04:00:00,12.51,91.3,17.1,17.83,0.89,341.27,0.18,0.0,0.903,310.452,365.434,-2.582,-5.345,-13.535,0.0,0.29,-0.85
2018-11-29 04:30:00,12.39,91.43,17.04,17.77,0.9,355.92,0.277,0.0,1.311,314.003,365.513,-3.119,-6.553,-14.166,0.0,0.06,-0.9
2018-11-29 05:00:00,12.38,91.43,17.03,17.72,0.84,351.07,0.09,0.0,1.437,312.588,364.429,-2.822,-6.144,-14.798,0.0,0.13,-0.83
2018-11-29 05:30:00,12.13,91.82,17.03,17.67,1.08,333.85,0.149,0.0,0.816,310.262,363.968,-2.543,-4.974,-16.317,0.0,0.48,-0.97
2018-11-29 06:00:00,11.99,92.45,17.02,17.62,1.02,337.41,0.251,0.0,1.369,307.081,363.587,-4.684,-9.638,-16.841,0.0,0.39,-0.95
2018-11-29 06:30:00,12.02,91.84,17.02,17.57,0.75,50.95,0.171,25.341,7.76,305.177,364.84,-0.791,-3.48,-15.57,30.6,-0.58,-0.47
2018-11-29 07:00:00,12.09,92.29,17.02,17.53,0.67,76.34,0.075,69.453,18.68,304.778,370.372,11.039,-4.892,-12.943,26.9,-0.65,-0.16
2018-11-29 07:30:00,12.5,93.33,17.02,17.5,0.63,243.11,0.121,199.576,55.433,304.889,381.126,77.705,30.832,-14.939,27.8,0.56,0.28
2018-11-29 08:00:00,13.79,89.73,16.97,17.48,0.8,193.38,0.178,391.128,98.51,309.771,396.974,130.707,72.77,-11.646,25.2,0.19,0.78
2018-11-29 08:30:00,15.86,79.32,16.95,17.49,1.08,169.45,0.345,503.987,117.297,315.124,410.476,186.021,122.44,-7.777,23.3,-0.2,1.06
2018-11-29 09:00:00,17.14,74.62,16.95,17.51,2.29,126.25,0.491,646.525,142.558,318.829,424.318,213.103,163.522,-3.664,22.0,-1.85,1.35
2018-11-29 09:30:00,18.27,69.04,16.88,17.57,2.43,118.33,0.826,766.966,163.31,326.076,433.671,299.965,181.935,3.435,21.3,-2.14,1.16
2018-11-29 10:00:00,19.28,65.47,16.84,17.65,2.6,119.03,0.744,855.136,174.619,330.666,441.803,288.501,173.37,6.472,20.4,-2.28,1.26
2018-11-29 10:30:00,21.12,59.7,16.77,17.76,2.48,81.54,2.915,936.843,184.812,339.96,447.667,448.174,195.293,10.827,19.7,-2.46,-0.37
2018-11-29 11:00:00,22.23,57.93,16.7,17.89,2.89,127.13,2.206,1012.687,195.38,346.766,457.185,389.292,192.422,19.793,19.3,-2.31,1.75
2018-11-29 11:30:00,22.44,57.07,16.62,18.05,2.93,131.88,2.291,1066.975,201.613,348.804,460.389,410.918,182.691,23.19,18.9,-2.18,1.96
2018-11-29 12:00:00,22.9,55.77,16.54,18.21,3.51,127.51,1.946,1108.479,206.978,350.704,463.257,432.863,214.92,22.236,18.7,-2.79,2.14
2018-11-29 12:30:00,23.16,56.59,16.46,18.39,3.71,115.39,2.992,1106.625,207.348,359.002,464.903,423.28,212.014,23.465,18.7,-3.35,1.59
2018-11-29 13:00:00,23.42,56.07,16.39,18.56,3.64,113.53,2.754,1104.772,207.718,360.51,463.886,524.288,205.326,24.695,18.8,-3.34,1.45
